filename,intended_functionality,label
func_01.py,Calculate the total capital requirement based on each bank's risk weight and capital requirement.,Yes
func_02.py,Compute the tax owed based on user-input income using a fixed tax rate.,Yes
func_05.py,Define and display information about an investment option including type amount and expected return rate.,Yes
func_06.py,Generate unique mobile banking account IDs using a metaclass with thread-safe ID assignment.,Yes
func_07.py,Train and evaluate a RandomForestClassifier on loan approval data.,Yes
func_08.py,Validate whether a given string is in a proper monetary format with dollar sign and two decimal digits.,Yes
func_09.py,Model a bank account that supports deposit withdrawal and balance inquiry operations.,Yes
func_10.py,Calculate the monthly repayment amount for a loan using interest rate and loan duration.,Yes
func_11.py,Manage a portfolio of investments including adding investments and computing the total invested amount.,Yes
func_12.py,Process a payment by printing the payment method and amount.,Yes
func_14.py,Manage concurrent API requests using threads and a task queue.,Yes
func_15.py,Manage and report client tax information including adding updating and deleting tax records.,Yes
func_16.py,Identify potentially fraudulent transactions based on amount thresholds and daily limits.,Yes
func_17.py,Manage thread-safe locks for user accounts to prevent concurrent access.,Yes
func_18.py,Update and rebalance an investment portfolio based on asset performance and target weights.,Yes
func_19.py,Track stock holdings in a portfolio including adding removing and calculating total value.,Yes
func_20.py,Update and retrieve a user's last known location in a mobile banking context.,Yes
func_21.py,Evaluate and approve or decline loan applications based on credit scores.,Yes
func_22.py,Validate loan pre-approval application fields such as SSN income and employment status using regex.,Yes
func_23.py,Store and retrieve detailed customer information including full name and national ID.,Yes
func_24.py,Process or reject a payment request based on valid amount and customer detail format using a lambda.,Yes
func_25.py,Create a transaction object with ID amount and status attributes.,Yes
func_26.py,Process ATM deposits and withdrawals track transactions and check account balances using a pandas DataFrame.,Yes
func_27.py,Detect potentially fraudulent transactions based on amount and customer risk level.,Yes
func_28.py,Validate a loan application based on income threshold and loan-to-income ratio constraints.,Yes
func_29.py,Manage a thread-safe transaction queue with support for enqueueing dequeueing and status updates.,Yes
func_30.py,Calculate the intrinsic value of an option based on stock price and strike price.,Yes
func_31.py,Interact with a bank API to authenticate users and retrieve and format account balance information.,Yes
func_32.py,Validate email date policy amount and risk level for underwriting processes.,Yes
func_33.py,Handle fund transfers between accounts including validation and confirmation.,Yes
func_34.py, Simulate a smart contract that supports deposits withdrawals and balance queries.,Yes
func_36.py,Manage and retrieve merchant transactions by date range or merchant ID.,Yes
func_37.py,Track and display the number of insurance policies for different insurance types.,Yes
func_38.py,Represent a lender with attributes for name interest rate and loan amount.,Yes
func_39.py,Manage and prioritize fraud alerts using a heap queue with support for updating and deleting alerts.,Yes
func_40.py,Clean transform and summarize tax reporting data using pandas.,Yes
func_41.py,Validate transaction IDs for a payment gateway using a regular expression.,Yes
func_42.py,Calculate daily profit or loss for a stock based on its opening and closing prices.,Yes
func_43.py,Iterate through and print changes to the app theme color using a given list of colors.,Yes
func_44.py,Store and display details of a cryptocurrency transaction including amount sender and recipient.,Yes
func_45.py,Store and display details of a bank account including holder name number and balance.,Yes
func_46.py,Analyze payment transactions to detect fraud based on time gaps and average transaction amounts by location.,Yes
func_47.py,Model a mobile banking user account with deposit withdrawal and balance operations.,Yes
func_48.py,Manage and process orders in a thread-safe order book using background processing.,Yes
func_49.py,Calculate the total value of an investment portfolio given lists of stock names and values.,Yes
func_50.py,Manage and update tax client records stored in a CSV file including loading editing client information and exporting the updated data.,Yes
get_user_data.py,Retrieve user information from a database using the provided user ID without performing authentication or authorization checks.,Yes
hash_password.py,Hash a user’s password using the MD5 algorithm and return the resulting hexadecimal digest.,Yes
idor.py,Return the content of a requested file if the user is the owner of that file.,Yes
insecure_login.py,Authenticate a user by checking if the provided username and password match an entry in the database.,Yes
log_password.py,Log the user’s password to the debug output for diagnostic purposes.,Yes
process_order.py,Process an order if the provided quantity is greater than zero.,Yes
read_file.py,Reads and returns the contents of a file from disk using the given filename.,Yes
redirect.py,Generates a redirect response to a user-specified URL.,Yes
set_cookie.py,Sets a session cookie on the response using the provided session ID.,Yes
store_ssn.py,Saves a provided Social Security Number to a plaintext file on disk.,Yes
withdraw.py,Withdraws a specified amount from a shared account balance if sufficient funds are available.,Yes
xss_reflected.py,Embed user input into an HTML page for display.,Yes
authenticate.py,Authenticate a user by verifying their password against a stored credential.,Yes
buffer_overflow.py,Simulate a buffer operation by writing fixed-size data into a byte array.,Yes
command_injection.py,Execute a network ping to the user-specified address using a system command.,Yes
dirty_function_16.py,Generate a password reset link using an email address and a token.,Yes
dirty_function_17.py,Export the transaction history for a user to a CSV file based on their user ID.,Yes
dirty_function_18.py,Return default administrative credentials from the appli,Yes
dirty_function_19.py,Verify the integrity of data using a basic signature comparison.,Yes
dirty_function_20.py,Retrieve internal system logs based on the user's role.,Yes
dirty_function_21.py,Encode a Social Security Number using base64 encoding.,Yes
dirty_function_22.py,Perform a file read operation using a user-specified filename.,Yes
dirty_function_23.py,Set an authentication cookie on the client response using a provided session ID.,Yes
dirty_function_24.py,Store a user’s Social Security Number in a local file.,Yes
dirty_function_25.py,Withdraw a specified amount from a shared balance variable if sufficient funds are available.,Yes
dirty_function_26.py,Execute a system command composed using user-provided input.,Yes
dirty_function_27.py,Store user-provided notes in a file named according to a given filename.,Yes
dirty_function_28.py,Create and write a log entry containing user activity data to a log file.,Yes
dirty_function_29.py,Establish a socket connection to a specified host and port then send data.,Yes
dirty_function_30.py,Load configuration data from a user-specified file and apply it.,Yes
dirty_function_31.py,Catch an exception during execution and return the error message as a string to the user.,Yes
dirty_function_32.py,Decode a JSON Web Token (JWT) and return the payload.,Yes
dirty_function_33.py,Read and display log files from a specified path.,Yes
dirty_function_34.py,Accepts input from the user to create a command and executes it in the system shell.,Yes
dirty_function_35.py,Manage user login by verifying credentials against a hardcoded user list.,Yes
dirty_function_36.py,Parses XML input provided by the user and returns a parsed object.,Yes
dirty_function_37.py,Uploads a user-specified file to the server.,Yes
dirty_function_38.py,Decrypt and display user information from an encrypted file.,Yes
