filename,CWE_Target,RQ4_Description
insecure_login.py,89,"CWE-ID: CWE-89
Description: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')

The function is vulnerable to SQL injection attacks. The input parameters `username` and `password` are directly concatenated into the SQL query without proper sanitization or escaping, allowing an attacker to inject malicious SQL code. This can lead to unauthorized access, data tampering, or even complete system compromise."
xss_reflected.py,79,"CWE-ID: CWE-79
Description: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
buffer_overflow.py,120,"CWE-ID: CWE-120
Description: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"
idor.py,639,"CWE-ID: CWE-639
Description: Authorization Bypass Through User-Controlled Key, also known as Insecure Direct Object Reference (IDOR), where an application uses a user-supplied identifier to access an object without verifying the user's permissions, allowing unauthorized access to sensitive data."
withdraw.py,362,"CWE-ID: CWE-362
Description: Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')"
authenticate.py,259,"CWE-ID: CWE-259
Description: Use of Hard-Coded Password - The software contains a hard-coded password, which can be discovered and exploited by attackers."
redirect.py,601,"CWE-ID: CWE-601
Description: Injection of Redirect to Untrusted Site ('Open Redirect')"
log_password.py,532,"CWE-ID: CWE-532
Description: Information Exposure Through Log Files - The software logs sensitive information, such as passwords or encryption keys, in a manner that is accessible to unauthorized actors."
hash_password.py,327,"CWE-ID: CWE-327
Description: Use of a Broken or Risky Cryptographic Algorithm - The software uses a cryptographic algorithm that is broken or risky, which can allow attackers to easily defeat the algorithm and access sensitive information."
command_injection.py,78,"CWE-ID: CWE-78
Description: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
set_cookie.py,613,"CWE-ID: CWE-613
Description: Insufficient Session Expiration, which occurs when a web application does not properly invalidate or expire its session management cookies, allowing an attacker to reuse the session ID and gain unauthorized access."
get_user_data.py,89,"CWE-ID: CWE-89
Description: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')

The function is vulnerable to SQL injection because it directly embeds the user-provided `user_id` into the SQL query without proper sanitization or escaping. This allows an attacker to inject malicious SQL code, potentially leading to unauthorized data access, modification, or deletion."
