filename,CWE_TARGET
insecure_login.py,89
xss_reflected.py,79
buffer_overflow.py,120
idor.py,639
withdraw.py,362
authenticate.py,259
redirect.py,601
log_password.py,532
hash_password.py,327
command_injection.py,78
set_cookie.py,613
get_user_data.py,89
read_file.py,22
process_order.py,20
store_ssn.py,311
dirty_function_16.py,862
dirty_function_17.py,284
dirty_function_18.py,798
dirty_function_19.py,208
dirty_function_20.py,284
dirty_function_21.py,326
dirty_function_22.py,662
dirty_function_23.py,22
dirty_function_24.py,79
dirty_function_25.py,117
dirty_function_26.py,284
dirty_function_27.py,601
dirty_function_28.py,95
dirty_function_29.py,22
dirty_function_30.py,20
dirty_function_31.py,209
dirty_function_32.py,345
dirty_function_33.py,330
dirty_function_34.py,209
dirty_function_35.py,276
dirty_function_36.py,614
dirty_function_37.py,201
dirty_function_38.py,377
dirty_function_39.py,256
dirty_function_40.py,1108
